image_name,image_path,website,source,page,text,category,severity,cleaned_text
hotel_0.png,data\raw\agoda\hotel_0.png,agoda,Real,,"UMS Q Text search Your budget (per night) MIN MAX 7 Rs. 1,46,690 Popular filters for Mumbai Refrigerator Bathtub Balcony/terrace Smoking area Family/child friendly Restaurants Front desk [24-hour] Book without credit card OOO0O0000 Residency Hotel Andheri ***4 @ Andheri East, Mumbai - 0.4 km to center 196 m from Western Express Highway + 3.5 km from Juhu Beach @ Agoda Preferred @ Coupon Code WEEKENDSALE applied - Rs. 1,530 off! Hotel cliffton **** @ Andheri West, Mumbai - 3.6 km to center 2025 Award 918 m from Oshiwara Station + 3.5 km from Juhu Beach — Booked 29 times today = r>] @ Agoda Preferred @ Coupon Code WEEKENDSALE applied - Rs. 605 off! 8.0 Excellent 1,412 reviews 8.3 Location score ‘Be Rs. 1,530 applied Per night after taxes and fees 12,836 -66% Rs. 4,381 7.6 Very good 2,552 reviews (1) ‘HE Rs. 605 applied Per night after taxes and fees 12,351 -72% rs. 3,490 a + FREE CANCELLATION",,,ums text search your budget per night min max 7 rs 1 46 690 popular filters for mumbai refrigerator bathtub balcony terrace smoking area family child friendly restaurants front desk 24 hour book without credit card ooo0o0000 residency hotel andheri 4 andheri east mumbai 0 4 km to center 196 from western express highway 3 5 km from juhu beach agoda preferred coupon code weekendsale applied rs 1 530 off hotel cliffton andheri west mumbai 3 6 km to center 2025 award 918 from oshiwara station 3 5 km from juhu beach booked 29 times today agoda preferred coupon code weekendsale applied rs 605 off 8 0 excellent 1 412 reviews 8 3 location score be rs 1 530 applied per night after taxes and fees 12 836 66 rs 4 381 7 6 very good 2 552 reviews 1 he rs 605 applied per night after taxes and fees 12 351 72 rs 3 490 free cancellation
hotel_1.png,data\raw\agoda\hotel_1.png,agoda,Real,,"L_J Vile Parle (155) ai 7.8 Very good 2,981 reviews Hotel Parle International *** Panvel (105. "" @ Vile Parle, Mumbai - 1.6 km to center 7 QO (708) ‘ . ‘ A 165 m from Vile Parle Railway Station - 2.0 km from 8.5 Location score ivali i Dh, Juhu Beach oO Borivali (96) y ‘ Top attractions Z ' Booked 17 times today ° : ‘BE Rs. 454 applied oO Khar (89) Per night after taxes and fees Beach, Nightlife _759 16,749 -75% Show 25 more Vv Rs. 4,187 @ Coupon Code WEEKENDSALE applied - Rs. 454 off! + FREE CANCELLATION Payment options Ginger Mumbai, Andheri 6.6 Good (MIDC) * &* 2,514 reviews @ Andheri East, Mumbai - 0.5 km to center ONLY 3 LEFT oO Free cancellation (2122) (Pay at the hotel (1122) oO P. (1822) 1.2 km from Chakala - J.B. Nagar + 4.7 km from Juhu r) ay Now Beach 'H Rs. 634 applied oO Book without credit card (319) Booked 13 times today Per night after taxes and fees 14,422 -62% Star rating oO Agoda Luxe (11) [TD te tee tee (134) [te ete e (397) rs. 0,413 @ Coupon Code WEEKENDSALE applied - Rs. 634 off! + FREE CANCELLATION 8.2 Excellent 3,273 reviews Lemon Tree Premier, Mumbai International Airport **** M Andheri Fact Miumhai . City canter T1 eee A7R) 8.6 Location score",,,vile parle 155 ai 7 8 very good 2 981 reviews hotel parle international panvel 105 vile parle mumbai 1 6 km to center 7 qo 708 165 from vile parle railway station 2 0 km from 8 5 location score ivali dh juhu beach borivali 96 top attractions booked 17 times today be rs 454 applied khar 89 per night after taxes and fees beach nightlife 759 16 749 75 show 25 more rs 4 187 coupon code weekendsale applied rs 454 off free cancellation payment options ginger mumbai andheri 6 6 good midc 2 514 reviews andheri east mumbai 0 5 km to center only 3 left free cancellation 2122 pay at the hotel 1122 1822 1 2 km from chakala nagar 4 7 km from juhu ay now beach rs 634 applied book without credit card 319 booked 13 times today per night after taxes and fees 14 422 62 star rating agoda luxe 11 td te tee tee 134 te ete 397 rs 0 413 coupon code weekendsale applied rs 634 off free cancellation 8 2 excellent 3 273 reviews lemon tree premier mumbai international airport andheri fact miumhai city canter t1 eee a7r 8 6 location score
hotel_10.png,data\raw\agoda\hotel_10.png,agoda,Real,,travel_2.png,,,
hotel_11.png,data\raw\agoda\hotel_11.png,agoda,Real,,"- - 1 May 2026 2 May 2026 2 adults Q. Hotel Airport International SJ Friday 3 Saturday Be Overview Rooms Trip recommendations Facil Reviews Location > fom Rs. 0,760 QiZaVagT Sy Back to Top # WwW Bar Airport transter Family room W Luggage’storage Gauas ¢ Daily Internet/Wi-Fi fee: 337 INR Full policy About us Hotel Airport International—steps from Mumbai Domestic Airport and Vile Parle station—perfect for two travelers needing quick... Read more This property is in high demand! 16 travelers have booked today. Select your room Q We price match! Email property WY Free cancellation @ Pay at the hotel od Non-smoking BA Twin Bed it City view Cj Quick Answers =",,,1 may 2026 2 may 2026 2 adults hotel airport international sj friday 3 saturday be overview rooms trip recommendations facil reviews location fom rs 0 760 qizavagt sy back to top www bar airport transter family room luggage storage gauas daily internet wi fi fee 337 inr full policy about us hotel airport international steps from mumbai domestic airport and vile parle station perfect for two travelers needing quick read more this property is in high demand 16 travelers have booked today select your room we price match email property wy free cancellation pay at the hotel od non smoking ba twin bed it city view cj quick answers
hotel_12.png,data\raw\agoda\hotel_12.png,agoda,Real,,"(J Double (333) [J Single/twin (290) King (184) [) Queen (178) (J Bunk bed (8) Popular with families oO Kids stay for free Location rating O 9+ Exceptional (52) O 8+ Excellent (244) O 7+ Very good (391) Looking for something special? 4 May 2026 Friday fF] 2 May 2026 2 adults — Saturday _ & 2025 Award Hotel cliffton **** 7.6 Very good @ Andheri West, Mumbai - 3.6 km to center 2,552 reviews 918 m from Oshiwara Station + 3.5 km from Juhu Beach ON EFT Booked 29 times today (1) ‘Be Rs. 605 applied @ Agoda Preferred Per night after taxes and fees ® Best price for 4-star properties 12,391 -72% ns. 3,490 a @ Coupon Code WEEKENDSALE applied - Rs. 605 off! + FREE CANCELLATION Hotel Sterling Executive *** New to Agoda @ Navi Mumbai, Mumbai - 13.8 km to center 1.1 km from Turbhe Railway Station ONLY 5 LEFT ‘BE Rs. 396 applied Per night after taxes and fees. 2,363 17% O @ Coupon Code WEEKENDSALE applied - Rs. 396 off! rs. 1 ;966 a",,,double 333 single twin 290 king 184 queen 178 bunk bed 8 popular with families kids stay for free location rating 9 exceptional 52 8 excellent 244 7 very good 391 looking for something special 4 may 2026 friday ff 2 may 2026 2 adults saturday 2025 award hotel cliffton 7 6 very good andheri west mumbai 3 6 km to center 2 552 reviews 918 from oshiwara station 3 5 km from juhu beach on eft booked 29 times today 1 be rs 605 applied agoda preferred per night after taxes and fees best price for 4 star properties 12 391 72 ns 3 490 coupon code weekendsale applied rs 605 off free cancellation hotel sterling executive new to agoda navi mumbai mumbai 13 8 km to center 1 1 km from turbhe railway station only 5 left be rs 396 applied per night after taxes and fees 2 363 17 coupon code weekendsale applied rs 396 off rs 1 966
hotel_13.png,data\raw\agoda\hotel_13.png,agoda,Real,,"Q Hotel Airport International 5 imay 2026 Overview Rooms Dee pnorws Executive Single Room 13 m7/140 ft? Max1adult 1 single bed & City view 'S Private bathroom (® Shower & Internet access — wireless ¥& Blackout curtains ®& Air conditioning @ Free bottled water & Refrigerator & Extra long bed Quick Answers Email property Trip recommendations = 2 May 2026 3 Saturday Location > Facil Reviews a 1 adult Room capacity exceeded @ © Free Cancellation @ Y Pay at hotele Y Parking vy Express check-in v Free WiFi See details a 1 adult Room capacity exceeded @ { Breakfast Included © Free Cancellation @ Y Book and pay now Y Parking vy Express check-in op Denn WARE: aR 2 adults Vv 1 room won Rs. 3,760 Back to Top BAT 569 -73% 1 room v 23,150 per night with taxes Book FREE Cancellation B44 569 -70% Last 3 rooms! 1room Vv KE Rs. 255 applied 23,420 Book per night with taxes FREE Cancellation Last 3 rooms!",,,hotel airport international 5 imay 2026 overview rooms dee pnorws executive single room 13 m7 140 ft max1adult 1 single bed city view private bathroom shower internet access wireless blackout curtains air conditioning free bottled water refrigerator extra long bed quick answers email property trip recommendations 2 may 2026 3 saturday location facil reviews 1 adult room capacity exceeded free cancellation pay at hotele parking vy express check in free wifi see details 1 adult room capacity exceeded breakfast included free cancellation book and pay now parking vy express check in op denn ware ar 2 adults 1 room won rs 3 760 back to top bat 569 73 1 room 23 150 per night with taxes book free cancellation b44 569 70 last 3 rooms 1room ke rs 255 applied 23 420 book per night with taxes free cancellation last 3 rooms
hotel_15.png,data\raw\agoda\hotel_15.png,agoda,Real,,"Crivago Destination x Check-in/out Guests and rooms | Mumbai 1 May - 2 May 2 Guests, 1 Room @) = Filters (1) Price & Re... V Price Vv Location Vv < city centre Breakfast included Free cancellation WiFi Parking Restaurant More stays you may like | We found 404 hotels from 180 sites How payments to us affect ranking (@) S x FabExpress Orange Suite *** at Agoda Ls a Hi @ 01.128 ratings) Y Free cancellation “ 9 3.1 km to City centre Our lowest price wNSlLE *~: Budget-friendly stay in Mumbai, 31,904 View > >"" — Inviting lobby with on-site fireplace Past week: %2,299 ean —~- Navi Mumbai ae iG %2,326 Booking.com a oe id ass v %2,314 Priceline N ; ; Treebo Tryst Widlor Boutique ell NN kh Treebo Hotels (Goo gl b i, Location data from OpenStreetMaps . ; Mboteot & Book direct with hotel 3 MapData 10km Terms Report a map error @® Very good (719 ratings)",,,crivago destination check in out guests and rooms mumbai 1 may 2 may 2 guests 1 room filters 1 price re price location city centre breakfast included free cancellation wifi parking restaurant more stays you may like we found 404 hotels from 180 sites how payments to us affect ranking fabexpress orange suite at agoda ls hi 01 128 ratings free cancellation 9 3 1 km to city centre our lowest price wnslle budget friendly stay in mumbai 31 904 view inviting lobby with on site fireplace past week 2 299 ean navi mumbai ae ig 2 326 booking com id ass 2 314 priceline treebo tryst widlor boutique ell nn kh treebo hotels goo gl location data from openstreetmaps mboteot book direct with hotel 3 10km terms report map error very good 719 ratings
hotel_16.png,data\raw\agoda\hotel_16.png,agoda,Real,,"@) Crivago Destination x Check-infout Guests and rooms Mumbai 7 May - 21 May 2 Guests, 1 Room = Filters (1) Sortby v Price v Location V Hot deals Hotels Rating: 8.0+ Near city centre Breakfast included Free cancellation * > We found 249 hotels from 180 sites How payments to us affect ranking @) ; Bneyand Bhiwandi 9 4.5 km to City centre 35,495 > Lael . . 276,933 total *% On-site restaurant with bar, Outdoor swimming pool with waterfall %5,120 Agoda v Locomo Mumbai - Stay Work Eat Hostelworld a v Free cancellation Hostel @ Excellent (2,537 ratings) . 5,775 Q 4.3 km to City centre %80,850 total > *: Expansive rooftop terrace with city a y , i 4 views, Thoughtfully designed dorms... %5,700 Booking.com v (Google Location data from Open EB MapData 10kmL—_______1 ""Terms Report a map error",,,crivago destination check infout guests and rooms mumbai 7 may 21 may 2 guests 1 room filters 1 sortby price location hot deals hotels rating 8 0 near city centre breakfast included free cancellation we found 249 hotels from 180 sites how payments to us affect ranking bneyand bhiwandi 9 4 5 km to city centre 35 495 lael 276 933 total on site restaurant with bar outdoor swimming pool with waterfall 5 120 agoda locomo mumbai stay work eat hostelworld free cancellation hostel excellent 2 537 ratings 5 775 4 3 km to city centre 80 850 total expansive rooftop terrace with city 4 views thoughtfully designed dorms 5 700 booking com google location data from open eb 10kml 1 terms report map error
hotel_17.png,data\raw\agoda\hotel_17.png,agoda,Real,,"/ Destination Crivago Mumbai = Filters (1) Sortby v Price Vv Location V We found 249 hotels from 180 sites (210 ratings) 9 10.3 km to City centre Ramee Guestline Hotel Dadar kak @ Very good (6,087 ratings) 9 7.4 km to City centre *~: Multiple on-site dining options, Wellness amenities including sauna Gluinanor Miumbkaj Garansan +++ Check-in/out 7 May - 21 May Hot deals Hotels Rating: 8.0+ & Book direct with hotel v Free cancellation Y Breakfast included 33,988 "" 255,837 total View Deal > Expedia v Free cancellation before 6 May 35,645 «9,083 379,035 total View Deal > %5,529 Agoda %6,813 MakeMyTrip Guests and rooms 2 Guests, 1 Room Near city centre Google’ Breakfast included Bhayandar EB Map Data @) Free cancellation * > How payments to us affect ranking @) Bhiwandi > Location data from Open 10km L______4 ""Terms Report a map error",,,destination crivago mumbai filters 1 sortby price location we found 249 hotels from 180 sites 210 ratings 9 10 3 km to city centre ramee guestline hotel dadar kak very good 6 087 ratings 9 7 4 km to city centre multiple on site dining options wellness amenities including sauna gluinanor miumbkaj garansan check in out 7 may 21 may hot deals hotels rating 8 0 book direct with hotel free cancellation breakfast included 33 988 255 837 total view deal expedia free cancellation before 6 may 35 645 9 083 379 035 total view deal 5 529 agoda 6 813 makemytrip guests and rooms 2 guests 1 room near city centre google breakfast included bhayandar eb map data free cancellation how payments to us affect ranking bhiwandi location data from open 10km 4 terms report map error
hotel_18.png,data\raw\agoda\hotel_18.png,agoda,Real,,"@) = Filters (1) Sortby v Price v Location V Hot deals Hotels Rating: 8.0+ Near city centre Breakfast included Free cancellation * > Crivago Destination x Check-infout Guests and rooms Map area 7 May - 21 May 2 Guests, 1 Room How payments to us affect ranking @) We found 296 hotels from 180 sites rooms with smart televisions 5,980 Agoda v Sky suites by Monarch *** CREREED Tip.com asai-Virar Good (1,008 ratings) Y Free cancellation > 9 Navi Mumbai, 13.3 km to Mumbai 5,403 - %4,502 of * Panoramic city and wetland views, 263,024 total Event and wedding facilities %4,495 Agoda v The Fern Residency Mumbai, Mir... hk Marriott Bonvoy & Book direct with hotel aw <A Location data from OpenStreetMaps EB MapData 20kmL—____1_ Terms_ Report a map error Google’ @® Very good (8 ratings)",,,filters 1 sortby price location hot deals hotels rating 8 0 near city centre breakfast included free cancellation crivago destination check infout guests and rooms map area 7 may 21 may 2 guests 1 room how payments to us affect ranking we found 296 hotels from 180 sites rooms with smart televisions 5 980 agoda sky suites by monarch crereed tip com asai virar good 1 008 ratings free cancellation 9 navi mumbai 13 3 km to mumbai 5 403 4 502 of panoramic city and wetland views 263 024 total event and wedding facilities 4 495 agoda the fern residency mumbai mir hk marriott bonvoy book direct with hotel aw location data from openstreetmaps eb 20kml 1 terms report map error google very good 8 ratings
